工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
Python服务器开发工程师,北京·朝阳区·立水桥,途游游戏,23-35K·13薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
OpenStack虚拟化计算研发专家,北京·朝阳区·酒仙桥,360集团,30-60K·15薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
后端开发工程师（Python）,北京,乐元素,18-35K·15薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/b8f3202d5736c5481nN539u1.html
运维开发leader,北京·朝阳区·太阳宫,BOSS直聘,30-60K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
Python系统架构师,北京·海淀区·学院路,志翔科技,25-50K·13薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
网络研发工程师（混合云方向）,北京,滴滴,30-60K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
openstack运维开发工程师,北京·海淀区·中关村,SenseTime,25-50K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
Python后端开发,北京·东城区·朝阳门,艾迈科斯媒体科技,15-30K·13薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/91d2124471f8d59e0nV-2dq4FQ~~.html
后端研发工程师（量产采集管理平台）,北京·海淀区·中关村,NIO蔚来,50-80K,本科,汽车生产,经验不限,https://www.zhipin.com/gongsi/c61d023bc6632dd91XZy2dQ~.html
Python,北京·海淀区·上地,软通动力,11-22K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
python开发工程师,北京·西城区·长椿街,中国移动研究院,25-40K,硕士,数据服务,1-3年,https://www.zhipin.com/gongsi/82520fefdaff620f1nJ92NS9EQ~~.html
后端开发工程师,北京·海淀区·双榆树,北京字节跳动,25-50K·16薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python开发工程师,北京·海淀区·西北旺,华为技术有限公司,20-40K·16薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
资深开发工程师,北京·朝阳区·望京,网神信息技术(北...,25-50K·14薪,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/f4d46435748422ec1Hd509y9EA~~.html
Python,北京·海淀区·西北旺,百度,15-30K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
软件开发工程师,北京·海淀区·西北旺,华为,16-30K,硕士,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
爬虫工程师,北京·朝阳区·太阳宫,便利蜂,30-60K·14薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/551d062684338c9703Jz3N24.html
爬虫工程师,北京·朝阳区·三里屯,天下秀,15-25K,大专,互联网,1-3年,https://www.zhipin.com/gongsi/34c0d9f26ae125d41nx7398~.html
爬虫架构师,北京·朝阳区·东大桥,慧科讯业,60-90K·15薪,本科,数据服务,5-10年,https://www.zhipin.com/gongsi/d1305df085a42bf31Xd82NS9.html
Python开发工程师,北京·海淀区·西北旺,中软国际,13-25K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
后端开发工程师-外派字节,北京·海淀区·北太平庄,亿达信息,15-21K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/f4d243a526496fe21XB_29S_.html
python后台开发工程师,北京·海淀区·中关村,小赢科技,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e1458eab4777c3e50HF92Nm6.html
地图数据后台开发-Python,北京,腾讯,30-60K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
后端高级/资深开发工程师—Devops方向,北京·海淀区·知春路,神策数据,25-45K·14薪,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/4845e074ed747d6a33V629S0Ew~~.html
k8s研发工程师,北京·海淀区·上地,华如科技,15-30K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a1714a743b768dd80nB53d2-.html
