,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
183,忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,https://movie.douban.com/subject/1959195/,9.2,198046,导演: 神山征二郎 Seijirô Kôyama,主演: 仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情
184,2001太空漫游 / 2001: A Space Odyssey / 2001：星际漫游  /  2001：太空奥德赛,https://movie.douban.com/subject/1292226/,8.9,335304,导演: 斯坦利·库布里克 Stanley Kubrick,主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险
185,心灵奇旅 / Soul / 灵魂奇遇记(港)  /  灵魂急转弯(台),https://movie.douban.com/subject/24733428/,8.7,994708,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,主演: 杰米·...,2020,美国,动画 奇幻 音乐
186,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/,8.8,448369,导演: 达米安·斯兹弗隆 Damián Szifron,主演: 达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪
187,无间道2 / 無間道II / 无间道前传  /  Infernal Affairs II,https://movie.douban.com/subject/1307106/,8.7,486023,导演: 刘伟强 / 麦兆辉,主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003,中国香港,剧情 犯罪 惊悚
188,小偷家族 / 万引き家族 / Shoplifters  /  Une Affaire de Famille,https://movie.douban.com/subject/27622447/,8.7,818977,导演: 是枝裕和 Hirokazu Koreeda,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭
189,无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,https://movie.douban.com/subject/6534248/,8.7,546316,导演: 瑞奇·莫尔 Rich Moore,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险
190,爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台),https://movie.douban.com/subject/25773932/,8.7,594828,导演: 达米恩·查泽雷 Damien Chazelle,主演: 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐
191,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,https://movie.douban.com/subject/1291578/,8.6,621894,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧 动画 冒险
192,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,https://movie.douban.com/subject/3011051/,8.5,874829,导演: 克里斯托弗·史密斯 Christopher Smith,主演: 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚
193,贫民窟的百万富翁 / Slumdog Millionaire / 一百万零一夜(港)  /  贫民百万富翁(台),https://movie.douban.com/subject/2209573/,8.6,751223,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演: 戴夫...,2008,英国,剧情 爱情
194,东邪西毒 / 東邪西毒 / Ashes of Time,https://movie.douban.com/subject/1292328/,8.6,581794,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
195,牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day,https://movie.douban.com/subject/1292329/,8.9,305470,导演: 杨德昌 Edward Yang,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪
196,魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送,https://movie.douban.com/subject/1307811/,8.7,464965,导演: 宫崎骏 Hayao Miyazaki,主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险
